id;titulo;descricao;data_envio;motivo_pendente;motivo_rejeitado;motivo_parcial;tipo;ch_pedida;ch_concedida;estado;caminho_arquivo
1;dot-com payment Libyan Dinar;white sensor local;2019-09-18T15:25:44;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;REGIONAL;19091;85113;APROVADO;mesh
2;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;2019-09-18T07:24:18;Open-architected;FTP;calculating Metal array;REGIONAL;81011;25620;PENDENTE;digital deposit
3;extend Unbranded Fresh Pants Tools;Practical North Dakota;2019-09-18T15:09:00;Dale;Specialist generating;Computers Small Fresh Gloves back-end;INTERNACIONAL;82786;76999;REJEITADO;Club backing up
4;Iran;Philippine Peso Metal;2019-09-18T12:49:36;Analyst card Licensed Cotton Ball;mindshare Gorgeous;Chips;LOCAL;69597;68849;REJEITADO;Benin
5;Tuna Response invoice;alarm Jamaica;2019-09-18T01:19:53;paradigms Organic strategic;Steel leading-edge Small;Incredible Fresh Chips;INTERNACIONAL;80691;47347;APROVADO_PARCIALMENTE;Generic Frozen Tuna HTTP
6;implement;Optimization Cambridgeshire;2019-09-18T03:04:03;Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;NACIONAL;54561;82063;APROVADO;black
7;yellow;Books Generic;2019-09-17T23:37:14;Handcrafted Plastic Shirt quantifying;wireless;hybrid;INTERNACIONAL;34833;62894;REJEITADO;China
8;quantify multi-byte;interface Cotton Robust;2019-09-18T02:04:46;JSON Texas;bandwidth;application Configurable iterate;REGIONAL;32004;29763;APROVADO;time-frame Quality
9;Borders Borders Practical;methodical;2019-09-18T08:07:29;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;REGIONAL;68803;76151;REJEITADO;Centralized revolutionize International
10;Sleek;Visionary;2019-09-18T02:03:41;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;INTERNACIONAL;42422;24872;APROVADO;Parkway Handmade Wooden Cheese
